,date,id,tweet,cluster,class
8,Sat Nov 30 21:50:11 +0000 2019,72898202,"#LosGatos Northbound Hwy 17 before The Summit, solo accident with an overturned vehicle on its roof blocking the right lane. Traffic backed up 2 miles from the scene. #KCBSTraffic",0,1
9,Sat Nov 30 21:40:46 +0000 2019,72898202,San Francisco International Auto Show occurs this weekend at Moscone Center. Check out @KCBSAMFMTraffic Weekend Events Page for other events this weekend that could affect your drive.,1,0
10,Sat Nov 30 21:29:25 +0000 2019,72898202,"#SanBruno Southbound Hwy 101 before San Bruno Ave., solo vehicle accident hitting the pole. Pole is blocking the 2nd lane from the left while vehicle is moved to right shoulder. #KCBSTraffic",0,1
11,Sat Nov 30 21:25:22 +0000 2019,72898202,"#SanFrancisco Northbound Hwy 280 before Alemany Blvd., loose clothes on wet highway blocking the 2nd lane from the left. Be careful due to wet weather and holiday shopping. #KCBSTraffic",0,1
12,Sat Nov 30 21:22:00 +0000 2019,72898202,"#SanFrancisco Southbound Hwy 101 at Cesar Chavez offramp, big rig vehicle blocking the offramp. #KCBSTraffic",1,1
13,Sat Nov 30 21:15:54 +0000 2019,72898202,"#Alamo Northbound Hwy 680 before Stone Valley Rd., solo vehicle spinout blocking the left lane. raffia backed up half mile from the scene. #KCBSTraffic #Waze",0,1
14,Sat Nov 30 20:57:41 +0000 2019,72898202,"#Sunol Northbound Hwy 680 at Palomares, 2 car accident blocking the middle lane and right shoulder. #KCBSTraffic #Waze",0,1
15,Sat Nov 30 20:45:55 +0000 2019,72898202,All lanes opened Southbound Hwy 280 before Geneva Ave. Traffic is still backed up half a mile from scene. #KCBSTraffic,1,0
16,Sat Nov 30 20:19:51 +0000 2019,72898202,"#SanFrancisco Southbound Hwy 280 before Geneva Ave., 2 car accident with one vehicle blocking the left lane and another vehicle moved to the right shoulder. #KCBSTraffic #Waze",0,1
17,Sat Nov 30 20:07:58 +0000 2019,72898202,"#Fremont Southbound Hwy 880 before Mowry Ave., solo vehicle accident moved to the right shoulder. Traffic backed up over one mile from the scene. #KCBSTraffic #Waze",1,1
18,Sat Nov 30 20:05:14 +0000 2019,72898202,"#Lafayette Eastbound Hwy 24 before Oak Hill Rd., solo vehicle accident blocking the 2nd and 3rd lanes from the left. Traffic backed up over half a mile from scene. #KCBSTraffic #Waze",0,1
19,Sat Nov 30 20:00:35 +0000 2019,72898202,"All lanes opened Northbound Hwy 17, heavy residual traffic before The Summit for 2 miles. #KCBSTraffic",1,0
20,Sat Nov 30 19:51:25 +0000 2019,72898202,Drivetime: Westbound I-80 Richmond Central Ave. to Downtown San Francisco via the #BayBridge is around 30 min. #KCBSTraffic #Waze,1,0
21,Sat Nov 30 19:49:44 +0000 2019,72898202,Metering lights are tuned on #BayBridge. #KCBSTraffic,1,0
22,Sat Nov 30 19:38:40 +0000 2019,72898202,"#LosGatos Southbound Hwy 17 before Idylwild Rd., solo vehicle accident hitting the center divider moved to the right shoulder. Traffic backed up 1 miles from the scene. #KCBSTraffic",1,1
23,Sat Nov 30 19:13:07 +0000 2019,72898202,At 1PM today: @NDFootball vs @StanfordFB in Palo Alto. Check out @KCBSAMFMTraffic Weekend Events Page for other events that could affect your drive.,1,0
24,Sat Nov 30 18:55:45 +0000 2019,72898202,"#LosGatos Northbound Hwy 17 before The Summit, solo vehicle accident blocking the right lane. Traffic backed up 2 miles from The Summit. #KCBSTraffic",0,1
25,Sat Nov 30 18:45:38 +0000 2019,72898202,"#RedwoodCity Southbound Hwy 101 at Whipple Ave., Caltrans has roadwork closing the right lane till 11AM and before Holly St., there’s a box spring blocking the 2nd lane from the left. #KCBSTraffic #Waze",0,1
26,Sat Nov 30 18:41:28 +0000 2019,72898202,"#SanFrancisco Southbound Hwy 101 before Monterrey Blvd., 2 vehicle accident blocking the right lane. Traffic still driving at the limit. #KCBSTraffic",0,1
27,Sat Nov 30 18:25:29 +0000 2019,72898202,"#SanJose Northbound Hwy 87 before Hwy 101, solo vehicle hitting a pole on the right shoulder. Traffic driving at the limit. #KCBSTraffic",1,0
28,Sat Nov 30 18:22:07 +0000 2019,72898202,Latest update on drive to Sierras on I-80,1,0
29,Sat Nov 30 18:03:22 +0000 2019,72898202,"#SanJose Northbound Hwy 87 before Capitol Expy, 2 car accident moved to the right shoulder. Traffic driving at the limit. #KCBSTraffic",1,1
30,Sat Nov 30 17:51:01 +0000 2019,72898202,"#Pleasanton Westbound Hwy 580 before Hacienda Dr., 2 vehicle accident moved to the center divider. Traffic driving at the limit. #KCBSTraffic",1,1
31,Sat Nov 30 17:15:21 +0000 2019,72898202,San Francisco International Auto Show happens this weekend at Moscone Center. Check out @KCBSAMFMTraffic Weekend Events Page for other events this weekend that could affect your drive. https://kcbsradio.radio.com/articles/news/san-francisco-bay-area-things-to-do-thanksgiving-weekend,1,0
32,Sat Nov 30 17:06:43 +0000 2019,72898202,"#BayBridge Eastbound I-80 before Treasure Island, there's a ladder blocking the 2 left lanes. Be careful driving around the area. #KCBSTraffic",0,1
33,Sat Nov 30 16:47:47 +0000 2019,72898202,"#GoldenGateBridge Southbound Hwy 101 at Toll Plaza, a solo car accident is blocking the fourth toll lane to the left. Caltrans is attempting to move car to employee lot. Traffic still driving at the limit. #KCBSTraffic",0,1
34,Sat Nov 30 16:38:39 +0000 2019,72898202,@NDFootball vs @StanfordFB in Palo Alto today at 1PM. Check out @KCBSAMFMTraffic Weekend Events Page for other events that could affect your drive. https://kcbsradio.radio.com/articles/news/san-francisco-bay-area-things-to-do-thanksgiving-weekend,1,0
35,Sat Nov 30 16:25:13 +0000 2019,72898202,I-80 is open in Sierras in both directions for now.,1,0
36,Sat Nov 30 12:56:51 +0000 2019,72898202,#Sierra #SierraRoadConditions #Highway80 Highway 80 remains completely shut down in both directions between Colfax &amp; just east of Truckee in the wake of a series of crashes. Chains are also required from Truckee to Baxter. #KCBSTraffic #Waze,1,1
37,Sat Nov 30 12:40:08 +0000 2019,72898202,#RedwoodCity #Highway84 #Highway101 Crews are tending to an injury crash on the Woodside Rd/Highway 84 onramp to Southbound 101. #KCBSTraffic #Waze,1,1
38,Sat Nov 30 10:49:37 +0000 2019,72898202,#UnionCity #Fremont #Highway880 Northbound 880 before Alvarado Blvd—A crash blocks the far right lane. A power pole &amp; power lines have been knocked down in the wake of a crash. #KCBSTraffic #Waze,0,1
39,Sat Nov 30 10:27:57 +0000 2019,72898202,#SanFrancisco #Highway101 #Highway80 Southbound 101 just past the 80 split—A 4 car crash blocks the far left lane. Traffic is very slow approaching the scene. #KCBSTraffic #Waze,0,1
40,Sat Nov 30 09:02:32 +0000 2019,72898202,#Sierra #SierraRoadConditions #Highway80 The traffic nightmares continue in the Sierra. #KCBSTraffic #Waze,1,0
41,Sat Nov 30 09:00:58 +0000 2019,72898202,#Hercules #highway80 Westbound 80 before Willow Avenue—A solo car crash in the far left lane has left a trail of debris in that lane. #KCBSTraffic #Waze,0,1
42,Sat Nov 30 08:32:04 +0000 2019,72898202,#Oakland #Highway580 Eastbound 580 at Harrison St.—A 2 car crash is on the right shoulder. #KCBSTraffic #Waze,1,1
43,Sat Nov 30 07:46:37 +0000 2019,72898202,"#Sierra #Highway50 #SierraRoadConditions No chains are currently required on Highway 50 through the Sierra, but traffic is stop &amp; go from just east of Pollock Pines across the Summit into South Lake Tahoe. #KCBSTraffic #Waze",1,0
44,Sat Nov 30 07:11:54 +0000 2019,72898202,#WalnutCreek #Highway680 A stalled car partly blocks the South Main St. onramp to Southbound 680. #KCBSTraffic,1,1
45,Sat Nov 30 06:57:43 +0000 2019,72898202,I80 remains close between Colfax and the Nevada state line. #KCBSTraffic,1,0
46,Sat Nov 30 02:31:39 +0000 2019,72898202,#SantaCruz Southbound Highway 1 past #RioDelMar a big crash with an RV and several emergency vehicles. Just 1 open lane and southbound traffic traffic is jammed from #StateParkDrive. Northbound traffic is jammed from before #FreedomBlvd. #KCBSTraffic,0,1
47,Sat Nov 30 02:13:53 +0000 2019,72898202,Driving home from the Sierra won't be easy tonight. #KCBSTraffic,1,0
48,Sat Nov 30 02:12:35 +0000 2019,72898202,#Lafayette A red Mustang spun out and landed in the center divide on #Hwy24 westbound before #St.Stephens. #KCBSTraffic,1,0
49,Sat Nov 30 01:32:51 +0000 2019,72898202,#Hayward. On both sides of 880 (NB and SB) there’s an accident near A street. Only the SB side is blocking. #KCBSTraffic #Waze,1,1
50,Sat Nov 30 01:05:18 +0000 2019,72898202,#RIchmondSanRafaelBridge #Stall 580 EB at Midspan. Blocking the right lane. #KCBSTraffic,0,1
51,Sat Nov 30 01:01:18 +0000 2019,72898202,"#Napa #Accident 29 SB before Soscol Ferry. Left lane blocked, but parties are in the process of attempting to clear to the shoulder. #KCBSTraffic",0,1
52,Sat Nov 30 00:54:43 +0000 2019,72898202,We’re still looking at #slowdowns on 17 SB through #LosGatos #KCBSTraffic #Waze,1,0
53,Sat Nov 30 00:39:26 +0000 2019,72898202,"#SanMateoBridge #Accident 92 WB at Industrial. Right lane blocked, but no slowing. #KCBSTraffic",0,1
54,Sat Nov 30 00:26:10 +0000 2019,72898202,"#Sierra chain information. on I80, traffic is being held between Gold Run and Donner Lake. On 88, chains are required btwn Dew Drop to Picketts. US 50: Twin Bridges to Meyers. #Tahoe #KCBSTraffic",1,0
55,Sat Nov 30 00:11:56 +0000 2019,72898202,"#Pleasanton #Accident 580 EB before Hacienda Drive. Two cars involved, but they are off to the right hand shoulder. #KCBSTraffic",1,1
56,Sat Nov 30 00:04:20 +0000 2019,72898202,"#Fremont #Accident 880 SB before Dixon Landing. 2 cars involved, and the right lane is blocked. #KCBSTraffic",0,1
57,Fri Nov 29 23:41:25 +0000 2019,72898202,"Everyone is headed to the Outlet Malls! 580 EB is slow from before 680, and there’s a new #accident near Tassajara, but it is off to the shoulder. WB 580 is slow from North Livermore Ave. #KCBSTraffic #Waze",1,1
58,Fri Nov 29 23:31:40 +0000 2019,72898202,There is a stalled car blocking a lane of the Fremont St Offramp from 80 WB as you head into #SanFrancisco on the #BayBridge. #KCBSTraffic,0,1
59,Fri Nov 29 23:23:08 +0000 2019,72898202,"#SanFrancisco #Accident 280 SB before Ocean Ave, not blocking. #KCBSTraffic",1,1
60,Fri Nov 29 23:14:34 +0000 2019,72898202,"Big time #slowdowns along 580 due to shoppers headed to the Outlet Malls. 580 WB is slow from North Livermore Ave, EB is slow from beyond 680.",1,0
61,Fri Nov 29 22:54:28 +0000 2019,72898202,"#UnionCity Lanes are clear after an earlier #accident 880 NB before Whipple, but you're slow from Paseo Padre Parkway. #KCBSTraffic",1,1
62,Fri Nov 29 22:45:42 +0000 2019,72898202,"There’s slowing between the Missions on 680 NB, and a new #Accident in #Sunol 680 NB after 84, two cars involved, not blocking. #KCBSTraffic #WAZE",0,1
63,Fri Nov 29 22:24:56 +0000 2019,72898202,The metering lights are ON at the #BayBridge Toll Plaza. We're seeing some slowing in the middle lanes. #KCBSTraffic,1,0
64,Fri Nov 29 22:15:34 +0000 2019,72898202,#Tracy A #brushfire has the right lane shut down by fire crews 580 EB before Grant Line. This has you slow from before N. Flynn Rd. WB is slow from 205.,1,0
65,Fri Nov 29 21:55:04 +0000 2019,72898202,#Concord #Accident 680 SB before Willow Pass Rd. Blocking the two right lanes. Slow from hwy 4. #KCBSTraffic,0,1
66,Fri Nov 29 21:44:34 +0000 2019,72898202,"#RichmondSanRafaelBridge #Accident 580 WB after the toll plaza, blocking the left lane. Bridge crews rolling. #KCBSTraffic",0,1
67,Fri Nov 29 21:43:19 +0000 2019,72898202,"#SanMateoBridge #Accident 92 WB before the high rise, a solo spinout is in the center divide. #KCBSTraffic",1,1
68,Fri Nov 29 21:40:54 +0000 2019,72898202,"#GoldenGateBridge You're slow northbound across the span due to activity at #VistaPoint, as well as the parks department closing offramps from Alexander Ave. #KCBSTraffic",1,0
69,Fri Nov 29 21:23:55 +0000 2019,72898202,Slow traffic 17 southbound out of Campbell into #LosGatos #Waze #KCBSTraffic,1,0
70,Fri Nov 29 21:14:49 +0000 2019,72898202,"We just heard from Jan of the #KCBSPhoneForce and she said there is hail causing a bit of a slowdown on the span of the #RichmondSanRafaelBRidge, after what is already a sluggish approach to the tolls on 580 WB. #KCBSTraffic",1,0
71,Fri Nov 29 20:37:49 +0000 2019,72898202,Sierra chain restrictions: #KCBSTraffic,1,0
72,Fri Nov 29 20:37:35 +0000 2019,72898202,Sierra chain restrictions: #KCBSTraffic,1,0
73,Fri Nov 29 20:19:36 +0000 2019,72898202,#RedwoodCity Southbound #US101 before Whipple Ave. Could be our first Christmas tree in the roadway this season. Watch out; the third lane from the left is blocked. #KCBSTraffic,0,1
74,Fri Nov 29 20:07:42 +0000 2019,72898202,#Oakland Westbound #I580 before #I80. Stalled car blocking the right lane is causing delays on to WB 24 from Telegraph Ave. #KCBSTraffic,0,1
75,Fri Nov 29 19:46:15 +0000 2019,72898202,#RohnertPark Southbound #US101 before Rohnert Park Expressway. Car went off the roadway into the right shoulder fence and onto the frontage Rd (Redwood Dr) #KCBSTraffic,1,0
76,Fri Nov 29 19:30:53 +0000 2019,72898202,#I80 Sierra chain requirements: #KCBSTraffic,1,0
77,Fri Nov 29 19:29:45 +0000 2019,72898202,#Lafayette Eastbound #SR24 before Pleasant Hill Rd. Jackknifed big-rig crash has CLEARED. #KCBSTraffic,1,1
78,Fri Nov 29 19:17:45 +0000 2019,72898202,#CapitolCorridor delays!,1,0
79,Fri Nov 29 19:17:11 +0000 2019,72898202,#Pleasanton Eastbound #I580 past Hacienda Dr. New crash on the right shoulder right about where the back-up for the Outlets begin. #KCBSTraffic,0,1
80,Fri Nov 29 18:51:03 +0000 2019,72898202,"#Pleasanton Eastbound #I580 slows from Santa Rita Rd to Fallon Rd, near the Outlets! #KCBSTraffic #Waze",1,0
81,Fri Nov 29 18:45:56 +0000 2019,72898202,#CapitolCorridor delays! #KCBSTraffic,1,0
82,Fri Nov 29 18:34:58 +0000 2019,72898202,Update on Sierra chain requirements: #KCBSTraffic,1,0
83,Fri Nov 29 18:34:49 +0000 2019,72898202,Update on Sierra chain requirements: #KCBSTraffic,1,0
84,Fri Nov 29 18:30:17 +0000 2019,72898202,See an extensive list of holiday weekend events around the Bay Area at:,1,0
85,Fri Nov 29 18:25:57 +0000 2019,72898202,#Lafayette Eastbound #SR24 before Pleasant Hill Rd. Jackknifed big-rig has the two right lanes CLOSED. A Special Traffic Advisory has been issued. #KCBSTraffic,1,0
86,Fri Nov 29 18:23:41 +0000 2019,72898202,#SanJose Northbound #I880 slows from just before The Alameda to just past Coleman Rd. #KCBSTraffic #Waze,1,0
87,Fri Nov 29 18:17:56 +0000 2019,72898202,#Lafayette Eastbound #SR24 before Pleasant Hill Rd. Jacknifed big-rig has the two right lanes blocked. CHP setting up a traffic break starting at Oak Hill Rd. #KCBSTraffic,0,1
88,Fri Nov 29 18:12:52 +0000 2019,72898202,#Petaluma Southbound #US101 past Petaluma Blvd S. Metal debris affecting the two left lanes. #KCBSTraffic,1,1
89,Fri Nov 29 18:07:46 +0000 2019,72898202,#GoldenGateBridge Vista Point restrictions: #KCBSTraffic,1,0
90,Fri Nov 29 17:52:50 +0000 2019,72898202,#I80 Chain requirements: #KCBSTraffic,1,0
91,Fri Nov 29 17:37:45 +0000 2019,72898202,#SanMateo Southbound #US101 past Hillsdale Blvd. Solo car accident on the right shoulder. #KCBSTraffic,1,1
92,Fri Nov 29 17:30:00 +0000 2019,72898202,"In light of this month’s fatal stabbing, #BART has beefed up its police presence throughout the system just in time for Black Friday. @KCBSRadio Bob Butler reports there are now more police officers and agency executives riding the trains",1,0
93,Fri Nov 29 17:27:11 +0000 2019,72898202,#BayBridge: There is a crash westbound after the island. The two right lanes and the left lanes are blocked. Only the two middle lanes are open. #KCBSTraffic,0,1
94,Fri Nov 29 17:07:55 +0000 2019,72898202,Crash in #SanFrancisco on northbound 280 has been cleared. All lanes are open. #KCBSTraffic,1,1
95,Fri Nov 29 16:47:12 +0000 2019,72898202,#SanLeandro Northbound #I880 before Marina Blvd. Accident cleared. #KCBSTraffic,1,1
96,Fri Nov 29 16:34:53 +0000 2019,72898202,#SanLeandro Northbound #I880 before Marina Blvd. Car facing the wrong way in the second lane from the left. #KCBSTraffic,0,0
97,Fri Nov 29 16:32:14 +0000 2019,72898202,#PaloAlto Southbound #US101 at Embarcadero Rd. Four car crash has cleared. #KCBSTraffic,1,1
98,Fri Nov 29 16:29:38 +0000 2019,72898202,#SanMateo Eastbound #SR92 past Hillsdale Blvd. Two car crash reported. #KCBSTraffic,1,1
99,Fri Nov 29 16:26:20 +0000 2019,72898202,#SanFrancisco: Northbound 280 ramp to the 280 extension is closed due to an injury accident with an overturned car. The ramps to 101 are open. Photo:#Caltrans #KCBSTraffic,1,1
100,Fri Nov 29 16:06:16 +0000 2019,72898202,"#SanFrancisco Northbound #I280 at #US101. All lanes blocked by an injury accident involving a car on its side. A truck towing a trailer, and a motorcycle also involved. #KCBSTraffic",0,1
101,Fri Nov 29 15:59:21 +0000 2019,72898202,#PaloAlto Southbound #US101 at Embarcadero Rd. Four car crash now in the center divider. #KCBSTraffic,1,1
102,Fri Nov 29 15:53:18 +0000 2019,72898202,#PaloAlto Southbound #US101 before San Antonio Rd. Four car crash now in the center divider. #KCBSTraffic,1,1
103,Fri Nov 29 15:52:39 +0000 2019,72898202,#Oakland Southbound #CA13 before Redwood Rd. Accident has cleared. #KCBSTraffic,1,1
104,Fri Nov 29 15:51:16 +0000 2019,72898202,Updated chain requirements for Highway 50: #KCBSTraffic,1,0
105,Fri Nov 29 15:47:03 +0000 2019,72898202,#PaloAlto Southbound #US101 before San Antonio Rd. Solo car striking the center divide multiple times. UPDATE: Left lane is blocked by addition vehicles. #KCBSTraffic,0,1
106,Fri Nov 29 15:44:20 +0000 2019,72898202,#PaloAlto Southbound #US101 before San Antonio Rd. Solo car striking the center divide multiple times. #KCBSTraffic,1,0
107,Fri Nov 29 15:38:13 +0000 2019,72898202,Still chain requirements on US-50.,1,0
108,Fri Nov 29 15:37:37 +0000 2019,72898202,An extensive list of fun events this holiday weekend can be found:,1,0
109,Fri Nov 29 15:29:06 +0000 2019,72898202,#Fairfield Westbound #I80 past W. Texas St. Solo car struck the center divider is now on the right shoulder. Expect minor delays. #KCBSTraffic,1,0
110,Fri Nov 29 15:27:07 +0000 2019,72898202,#Fairfield Westbound #I80 past W. Texas St. Solo car struck the center divider is now blocking the two left lanes. CHP is setting up a traffic break. Expect delays. #KCBSTraffic,0,1
111,Fri Nov 29 14:48:30 +0000 2019,72898202,#Oakland Southbound #CA13 before Redwood Rd. Accident has the left lane closed; right lane is now open. Heavy traffic from Moraga Ave. #KCBSTraffic,0,1
112,Fri Nov 29 14:47:01 +0000 2019,72898202,"#Concord Northbound #I680 at Highway 4. CHP is setting up a traffic break starting at Concord Ave, so that Caltrans can close the right lane for emergency attenuator repair work. #KCBSTraffic",0,1
113,Fri Nov 29 14:36:46 +0000 2019,72898202,#Oakland Southbound #CA13 before Redwood Rd. Accident has the left lane closed; right lane is now open. #KCBSTraffic,0,1
114,Fri Nov 29 14:26:39 +0000 2019,72898202,#Oakland Southbound #CA13 before Redwood Rd. Accident has all lanes stopped. CHP is setting up a traffic break. Traffic is rapidly backing up. #KCBSTraffic,1,1
115,Fri Nov 29 14:26:24 +0000 2019,72898202,Chains required on I-80 from Drum Forebay to Donner Lake Rd. #TheSierra #Truckee,1,0
116,Fri Nov 29 14:25:48 +0000 2019,72898202,No chains required on US-50 anymore.,1,0
117,Fri Nov 29 14:20:17 +0000 2019,72898202,#Orinda Westbound #CA24 past Fish Ranch Rd. Car fire reported. #KCBSTraffic,1,0
118,Fri Nov 29 14:06:40 +0000 2019,72898202,"It was a nice free day, but parking meters back in effect today. #SanFrancisco",1,0
119,Fri Nov 29 14:03:24 +0000 2019,72898202,#PleasantHill Westbound #SR24 before Pleasant Hill Rd. Accident blocking the left and right lane. #KCBSTraffic,0,1
120,Fri Nov 29 13:50:42 +0000 2019,72898202,"In light of this month’s fatal stabbing, #BART has beefed up its police presence throughout the system just in time for Black Friday. @KCBSRadio Bob Butler reports there are now more police officers and agency executives riding the trains.",1,0
121,Fri Nov 29 13:50:26 +0000 2019,72898202,#PleasantHill Westbound #SR24 before Pleasant Hill Rd. Solo car accident reported in the center divider. #KCBSTraffic,1,1
122,Fri Nov 29 13:44:51 +0000 2019,72898202,#Vallejo Westbound #CA37 at Sonoma Blvd (#CA29). Solo car accident involving an SUV on the right shoulder. #KCBSTraffic,1,1
123,Fri Nov 29 13:25:35 +0000 2019,72898202,#MountainView The NB El Camino Real on-ramp to Northbound #SR85. Solo car on the guardrail. #KCBSTraffic,1,0
124,Fri Nov 29 13:16:48 +0000 2019,72898202,#MountainView Northbound #SR85 before #CA237. Solo car spinout on the right shoulder. #KCBSTraffic,1,0
125,Fri Nov 29 12:47:37 +0000 2019,72898202,#KCBSTraffic Update - The on ramp is shut down due to this crash.,1,1
126,Fri Nov 29 12:17:53 +0000 2019,72898202,#SanJose – I-880 Northbound on #TheAlameda On Ramp – An overturned SUV is in the creek on the shoulder. CHP is on the scene. A tow truck is required to pull this out of the water. #KCBSTraffic,1,0
127,Fri Nov 29 09:17:47 +0000 2019,72898202,#KCBSTraffic,1,0
128,Fri Nov 29 09:17:33 +0000 2019,72898202,#KCBSTraffic Update - All lanes are now open. Expect residual delays.,1,0
129,Fri Nov 29 08:45:27 +0000 2019,72898202,#KCBSTraffic Update - Only the left lane is open. Photo: @waze,1,0
130,Fri Nov 29 08:37:55 +0000 2019,72898202,#KCBSTraffic Update - Only the left lane is open. The rest of the lanes are blocked.,0,1
131,Fri Nov 29 08:23:26 +0000 2019,72898202,#DalyCity – I-280 Northbound After #JohnDalyBlvd – A 2 car crash is in the middle lane. Emergency vehicles are getting ready to run a traffic break. The crash is reportedly out of a blind turn. #KCBSTraffic,0,1
132,Fri Nov 29 08:07:39 +0000 2019,72898202,#KCBSTraffic #SolTrans,1,0
133,Fri Nov 29 06:47:18 +0000 2019,72898202,Use the 280 extension. No delays there! #KCBSTraffic,1,0
134,Fri Nov 29 05:54:30 +0000 2019,72898202,#SanFrancisco There is 6 inches of standing water on #Hwy101 northbound past #CesarChavez. Crews are trying to fix a broken water main at 22nd and Rhode Island. Traffic is backed up from 280. The 280 extension is trouble free and a good alternate. #KCBSTraffic,1,0
135,Fri Nov 29 05:46:14 +0000 2019,72898202,#VallecitosRoad is slow from #I680 due to a crash with injuries 2 miles from the freeway. Traffic westbound is backed up for 2 miles as well. #Livermore #Dublin. #KCBSTraffic,1,1
136,Fri Nov 29 04:45:45 +0000 2019,72898202,"#CaldecottTunnel eastbound before the left bore there is a car broken down. It's on the right shoulder, but not in a good spot. Use caution when merging. #KCBSTraffic.",0,0
137,Fri Nov 29 01:59:18 +0000 2019,72898202,#SunolGrade #Highway680 Northbound 680 past Sheridan Rd.—A stalled big rig blocks the far right lane. #KCBSTraffic #Waze,0,1
138,Fri Nov 29 01:45:58 +0000 2019,72898202,#SantaRosa #Highway101 A stall blocks the second lane from the left on theCollege Avenue offramp from Southbound 101. #KCBSTraffic #Waze,0,1
139,Fri Nov 29 01:27:40 +0000 2019,72898202,#Amtrak #CapitolCorridor Delays are being reported on a San Jose bound Capitol Corridor train. #KCBSTraffic,1,0
140,Fri Nov 29 01:25:28 +0000 2019,72898202,"#SunolGrade #Fremont Northbound 680 at Andrade Rd.—A 3 car crash has been cleared, but traffic remains slow to Sheridan Rd. #KCBSTraic #Waze",1,1
141,Fri Nov 29 01:08:09 +0000 2019,72898202,#Milpitas #Highway880 #Highway680 Milpitas Police are cautioning that traffic might not be great later tonight near the Great Mall. #KCBSTraffic,1,0
142,Fri Nov 29 00:56:19 +0000 2019,72898202,#Dublin #Highway580 A stall partly blocks the Hopyard offramp from Eastbound 580. #KCBSTraffic #Waze,1,1
143,Thu Nov 28 23:46:05 +0000 2019,72898202,#ElCerrito #Richmond #Highway80 Westbound 80 at Cutting Blvd—The three left lanes remain shut down by a multi-car crash in which one vehicle landed on the offramp. #KCBSTraffic #Waze,0,1
144,Thu Nov 28 23:42:13 +0000 2019,72898202,#Amtrak #CapitolCorridor Delays continue on an Eastbound train bound for Sacramento. #KCBSTraffic,1,0
145,Thu Nov 28 23:36:32 +0000 2019,72898202,#SanFrancisco #Highway80 Westbound 80 before the 9th St. offramp—A stall blocks the second lane from the left. #KCBSTraffic #Waze,0,1
146,Thu Nov 28 23:06:59 +0000 2019,72898202,#SanFrancisco A rare break from the San Francisco Parking Meter blues. #KCBSTraffic,1,0
147,Thu Nov 28 22:53:38 +0000 2019,72898202,#Amtrak #CapitolCorridor Delays this afternoon on an Eastbound Capitol Corridor train. #KCBSTraffic,1,0
148,Thu Nov 28 22:51:23 +0000 2019,72898202,#Hayward #Highway880 Northbound 880 before Winton Avenue—-A stall blocks the far right lane. The backup is to Whipple Rd. #KCBSTraffic #Waze,0,1
149,Thu Nov 28 22:21:23 +0000 2019,72898202,#Fremont #Sunol #Highway680 Traffic is still very slow over the Sunol Grade. Northbound 680 is stop &amp; go from South Mission Blvd to Highway 84. #KCBSTraffic #Waze,1,0
150,Thu Nov 28 21:23:40 +0000 2019,72898202,#SanFrancisco #Highway80 Eastbound 80 before the San Francisco Anchorage—A stall blocks the third lane from the left. #KCBSTraffic #Waze,0,1
151,Thu Nov 28 21:00:17 +0000 2019,72898202,#MillValley Northbound #US101 on-ramp to Shoreline Highway. Flooding has been reported on the ramp. #KCBSTraffic,1,0
152,Thu Nov 28 20:48:17 +0000 2019,72898202,#Berkeley Eastbound #I80 before Ashby Ave. Accident cleared to the shoulder. Traffic is solid from #I580. #KCBSTraffic #Waze,1,1
153,Thu Nov 28 20:40:06 +0000 2019,72898202,#Berkeley Eastbound #I80 before Ashby Ave. Appearing to be a crash blocking the three right lanes. Traffic is solid from #I580. #KCBSTraffic #Waze,0,1
